File, Dice Score
pancreas_005, 0.6460216061340517
pancreas_019, 0.8414738825499843
pancreas_025, 0.586185250451895
pancreas_040, 0.8063732674511117
pancreas_043, 0.7764167847877832
pancreas_049, 0.7701995173661984
pancreas_056, 0.7945277124021085
pancreas_061, 0.843001028291191
pancreas_064, 0.7679377675273147
pancreas_069, 0.8695308461795738
pancreas_078, 0.6297818290496114
pancreas_091, 0.8361468372529051
pancreas_093, 0.8054562227266603
pancreas_094, 0.6900081039709458
pancreas_095, 0.6746049503565935
pancreas_104, 0.7625931350697319
pancreas_110, 0.5701462010453754
pancreas_111, 0.8528253355839562
pancreas_117, 0.7487838127729068
pancreas_122, 0.6029899786430097
pancreas_126, 0.5195171931227509
pancreas_127, 0.7756396505041252
pancreas_129, 0.6286550293604826
pancreas_140, 0.7798363684349433
pancreas_155, 0.8572417189017979
pancreas_159, 0.6524811356951017
pancreas_169, 0.7633209417596035
pancreas_173, 0.7927494309559939
pancreas_175, 0.7842531926707385
pancreas_181, 0.781461625282167
pancreas_200, 0.708511330126588
pancreas_214, 0.8503085512782839
pancreas_225, 0.8433194488945851
pancreas_226, 0.8151552446680895
pancreas_239, 0.8673276334425755
pancreas_243, 0.6688098943402409
pancreas_261, 0.7772386675569404
pancreas_265, 0.8479539545098831
pancreas_266, 0.8703329087685123
pancreas_267, 0.7497994529962038
pancreas_285, 0.8103222245221832
pancreas_287, 0.6933662667607622
pancreas_290, 0.8694400376050296
pancreas_302, 0.8015655724594729
pancreas_304, 0.7203690327664325
pancreas_305, 0.7557481955502642
pancreas_311, 0.7624130839290961
pancreas_312, 0.8497690844879109
pancreas_313, 0.66448353555285
pancreas_316, 0.5862289931165636
pancreas_325, 0.7590341172016323
pancreas_326, 0.8119655471557814
pancreas_339, 0.7219388408991875
pancreas_345, 0.7750659972048243
pancreas_348, 0.5732929029286454
pancreas_356, 0.8266703692316847
pancreas_358, 0.8534766267324407
pancreas_361, 0.8151660023043
pancreas_365, 0.8591814072241118
pancreas_369, 0.8470537369773262
pancreas_372, 0.6324619586422161
pancreas_379, 0.8168087022794984
pancreas_387, 0.8657010950994604
pancreas_391, 0.8812908879387191
pancreas_395, 0.844339060285332
pancreas_399, 0.6361537277438555
pancreas_400, 0.8400040820491886
pancreas_404, 0.7960435431286954
pancreas_410, 0.7837831522374109
pancreas_411, 0.8513710228454294
